Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
ThreeBarTruss,one_point,tournament,0.2,750166777,[0.8; 0.4],266.2741699796952
ThreeBarTruss,one_point,tournament,0.2,920458015,[0.8; 0.4],266.2741699796952
ThreeBarTruss,one_point,tournament,0.2,590199919,[0.8; 0.4],266.2741699796952
ThreeBarTruss,one_point,tournament,0.2,3432036922,[0.8; 0.4],266.2741699796952
ThreeBarTruss,one_point,tournament,0.2,1419400004,[0.8; 0.4],266.2741699796952
ThreeBarTruss,one_point,tournament,0.2,1117064271,[0.8; 0.4],266.2741699796952
ThreeBarTruss,one_point,tournament,0.2,2370544309,[0.8; 0.4],266.2741699796952
ThreeBarTruss,one_point,tournament,0.2,2655152064,[0.8; 0.4],266.2741699796952
ThreeBarTruss,one_point,tournament,0.2,15506965,[0.8; 0.4],266.2741699796952
ThreeBarTruss,one_point,tournament,0.2,2690634822,[0.8; 0.4],266.2741699796952
