Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
ThreeBarTruss,arithmetic,tournament,0.2,1305638030,[0.7812937288535237; 0.4295869607157097],263.94193357991116
ThreeBarTruss,arithmetic,tournament,0.2,4236337397,[0.7898899859168524; 0.40482920165256564],263.8975463385177
ThreeBarTruss,arithmetic,tournament,0.2,2905910963,[0.7945377656044355; 0.39239744224369766],263.9689610114513
ThreeBarTruss,arithmetic,tournament,0.2,352298664,[0.7845267343885759; 0.4203623527779254],263.93390484111234
ThreeBarTruss,arithmetic,tournament,0.2,278615315,[0.7920253340806918; 0.399441967968601],263.96279063685927
ThreeBarTruss,arithmetic,tournament,0.2,2834651754,[0.785770257575225; 0.4168270349464299],263.9320945290997
ThreeBarTruss,arithmetic,tournament,0.2,4263160493,[0.7901160447634843; 0.4045188601405583],263.93045128467725
ThreeBarTruss,arithmetic,tournament,0.2,748536988,[0.7953008414858291; 0.3900220400850154],263.9472512477005
ThreeBarTruss,arithmetic,tournament,0.2,4174162246,[0.7917831614917687; 0.4001048857456935],263.96058566263054
ThreeBarTruss,arithmetic,tournament,0.2,1415173070,[0.7932548908101021; 0.39567576849677355],263.9339418501644
