Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
ThreeBarTruss,arithmetic,tournament,0.2,694989939,[0.33885556075938617; 0.46767549766102706],216.38190070839556
ThreeBarTruss,arithmetic,tournament,0.2,1426507097,[0.3461274247122238; 0.4624736894146605],216.3706136089259
ThreeBarTruss,arithmetic,tournament,0.2,83930338,[0.3356362657603038; 0.46987196272380355],216.4014680848768
ThreeBarTruss,arithmetic,tournament,0.2,622500288,[0.33924165906886505; 0.46746313736264766],216.3837697716925
ThreeBarTruss,arithmetic,tournament,0.2,2239226157,[0.3400811756809561; 0.46717509452893946],216.399691644053
ThreeBarTruss,arithmetic,tournament,0.2,1311878780,[0.33870276724898674; 0.46791081045932875],216.39101545729585
ThreeBarTruss,arithmetic,tournament,0.2,1312440844,[0.3365584365770258; 0.4703631774118451],216.4669938488475
ThreeBarTruss,arithmetic,tournament,0.2,1924004587,[0.3399975015976604; 0.4667346661392283],216.3677322003987
ThreeBarTruss,arithmetic,tournament,0.2,1189046024,[0.34544106733234003; 0.4629890256080347],216.37046604521004
ThreeBarTruss,arithmetic,tournament,0.2,2030443887,[0.34281164399151287; 0.4654378169534402],216.40593194978695
