Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
ThreeBarTruss,arithmetic,tournament,0.2,3042051917,[0.0012651671483753235; 0.003210677245416016],0.6789110325218568
ThreeBarTruss,arithmetic,tournament,0.2,3795493343,[0.0008415933748473492; 0.009677910426593307],1.2058295956018237
ThreeBarTruss,arithmetic,tournament,0.2,444672604,[0.001313830563401397; 0.006472858212148158],1.0188932214993238
ThreeBarTruss,arithmetic,tournament,0.2,928133411,[0.004363753420585703; 0.013512703406285742],2.5855261946774317
ThreeBarTruss,arithmetic,tournament,0.2,1159398205,[0.0023876695278273186; 0.01654546405669788],2.3298813314134597
ThreeBarTruss,arithmetic,tournament,0.2,3649724233,[0.0007277400894462049; 0.012694979495083834],1.4753339303838697
ThreeBarTruss,arithmetic,tournament,0.2,4032920147,[0.0014919587578656746; 0.003364437632011996],0.7584334251761904
ThreeBarTruss,arithmetic,tournament,0.2,2204855970,[0.002331212740682488; 5.532123439444536e-05],0.6648986583694702
ThreeBarTruss,arithmetic,tournament,0.2,2492221790,[0.0023296490804113335; 0.00844907528397032],1.5038317934145753
ThreeBarTruss,arithmetic,tournament,0.2,433658286,[8.867095083109344e-05; 0.01267172226392399],1.292252158643169
