Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
ThreeBarTruss,arithmetic,tournament,0.2,2346392868,[0.7905678539893191; 0.4032540174969512],263.9317579672727
ThreeBarTruss,arithmetic,tournament,0.2,2539648122,[0.7876630012678218; 0.4115346658177036],263.9382063762604
ThreeBarTruss,arithmetic,tournament,0.2,3759108652,[0.7858610978268981; 0.4164608547251605],263.9211700101578
ThreeBarTruss,arithmetic,tournament,0.2,2792276272,[0.7920009966449532; 0.39926681508249284],263.9383916819095
ThreeBarTruss,arithmetic,tournament,0.2,3139844116,[0.7970643793437543; 0.3851162053413639],263.9554716046225
ThreeBarTruss,arithmetic,tournament,0.2,3160690698,[0.7878588918649101; 0.41101313956681257],263.941459979
ThreeBarTruss,arithmetic,tournament,0.2,1820485198,[0.7889476442990048; 0.40753808503287314],263.90190021727875
ThreeBarTruss,arithmetic,tournament,0.2,2814563198,[0.7951619142371522; 0.39023478464702044],263.92923114404863
ThreeBarTruss,arithmetic,tournament,0.2,2765340266,[0.7842858665574537; 0.4209197206630251],263.9215139189198
ThreeBarTruss,arithmetic,tournament,0.2,2941460072,[0.7914323000206273; 0.4008435997579062],263.93521845365126
