Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F12014,one_point,tournament,0.2,431695188,[-38.65078004849516; 20.7136279664429; -85.82646837197345; 52.41148296557611; 44.36602188269714; -77.68838734783334; -32.21236893081192; 31.0814073809469; 72.92047291242955; 79.48207846570168; -59.25890539867513; 77.25241877574919; 41.57241542336888; -61.51069729392036; 45.864737336764875; 13.328449175492139; -11.5342873543363; 77.45129858991203; -24.761725183581504; 43.81502471119546],1032981.769465006
F12014,one_point,tournament,0.2,3514797166,[-92.22585587285666; 21.301136773243172; -73.98086037219807; 83.66427128100145; -12.145549326786892; -67.8727337252219; -52.98425091054726; -6.353607867306039; 81.08529849136733; 77.4658765702302; -44.69632075003172; 75.52523619721535; 63.601805341079256; -38.23141172606797; 46.69659415219866; -36.77779117001039; -12.241145692618332; 72.90287241340422; 26.907736239505823; 57.89064080250722],845161.4205819647
F12014,one_point,tournament,0.2,2653602259,[2.374291578086172; 78.36672463130975; -37.892883941705335; 29.54641166222521; 20.91456962009441; -77.87791572123261; -56.76352557464548; 6.71622674087169; 60.03925217036604; 65.78303470030212; -48.28364232263604; 72.98544948060467; 49.05493886890778; 39.267732261157306; 47.940247244066455; -9.959146399561945; -13.254594602677372; 57.28378983242516; -0.5066562557926488; 97.41184587824932],798218.49160367
F12014,one_point,tournament,0.2,2830618068,[-88.08010384952638; 47.93103299504199; -37.606475918994306; 53.21682453231739; -23.721061284951446; -75.76931598087886; -34.30983076677687; 18.084888665086282; 89.69706148376204; 70.57011066450309; -54.90022536535471; 78.34187618401685; 51.709508521708955; -23.26969330090445; 47.18073407345264; -9.506897227638532; -12.628331190356292; 57.014346248063305; -2.5745569290489385; 98.91581090681188],616403.7689151195
F12014,one_point,tournament,0.2,2186395423,[47.98500416865522; 3.696403814847926; -53.42089355899111; 14.289251598093216; 56.14998867704469; -81.5290756080108; -29.420338874206095; 6.90988820374389; 80.03547502743294; 76.4700999358435; -52.70314570138579; 76.66925406283517; 37.65337158455259; -89.25582346860845; 46.50400079082053; 26.162909022005778; -12.279797945568419; 63.564585355935606; -39.71670283235604; 80.07503063751099],1247579.78168926
F12014,one_point,tournament,0.2,562138458,[16.43386760607271; 64.025734099651; -52.76033982497914; 96.31314308913227; 32.90524331041169; -69.96659186358198; -65.1055620338497; 16.114378888167053; 63.00187659892114; 89.1991098975798; -51.42490682906959; 76.47056776921343; 61.72007320115256; 28.205613611900418; 46.2299587569932; -31.992437032784665; -12.548688607194151; 63.512742171113615; 20.803220279743; 80.87689839989665],501184.7661836
F12014,one_point,tournament,0.2,646507830,[68.85066353416082; 81.89816241027324; -36.63921856843639; 88.57693190934691; 73.5968903078423; -89.06821766798139; -53.66964220407044; -0.11551512461198854; 71.48235313637451; 64.20432396807522; -49.82881035164084; 74.72761863525972; 21.02735170126182; 38.95976418296652; 45.85989503807696; 57.85143117507499; -13.252527815020827; 56.82256628318777; -70.02167166538501; 99.36558569112742],1576529.035513015
F12014,one_point,tournament,0.2,2624837716,[15.56173167596559; 31.965190040672525; -70.30074173711265; 21.303206608896176; 74.15930983930389; -75.07927463420494; -13.982326476693956; 24.856310772732783; 76.5677467301957; 69.7787165472399; -55.318374664458105; 77.31705910852656; 51.05685021821557; -64.27449339677722; 47.25600414575587; -6.415667646561161; -12.755764597071433; 71.3372875778714; -5.447638407121772; 60.880596849081854],674001.6115292835
F12014,one_point,tournament,0.2,447439207,[1.5117833742541222; 23.463408200398405; -42.02988036847337; 41.746331938230384; -40.04575545038516; -67.41565119248438; -29.86773379374121; 6.499490696343855; 75.67333144833663; 71.51594180757849; -52.82227862280662; 80.07752828674532; 69.78006874577636; -61.58778078848335; 49.275216681776016; -49.38938100590702; -14.010992401191686; 58.85353955045596; 38.29175468299832; 93.781846468883],676274.7145433864
F12014,one_point,tournament,0.2,1216361354,[-9.125606314992012; 51.3983210139242; -52.34472975263462; 54.450640198204525; 29.888518329839087; -92.34790068620373; 2.3049965736446723; -3.2665969697009274; 91.1946447380464; 65.6440371610239; -55.49509998584086; 77.815667317493; 15.36610925353257; -59.53053498157254; 46.53294432957725; 73.78047235652753; -12.065203544296295; 63.66375740878959; -86.91232096224111; 82.74526575027599],2142423.594939223
F12014,one_point,tournament,0.3,2791128674,[-76.81974009639403; 26.81421360478349; -64.131969874755; 76.61349389053058; 63.69721938904061; -68.10046744825036; -14.823114267479909; 12.501794891336132; 70.2393093854601; 75.11579292112492; -56.857478837858565; 78.37049042206124; 61.328221686772935; -72.31347982064167; 47.32119442463977; -25.77660452538896; -12.452656660489453; 68.3188227954465; 14.096666415002915; 68.11592064122789],322831.7375513264
F12014,one_point,tournament,0.3,3024153659,[-33.30822524156454; 21.800665156028316; -39.52292044573351; -28.1854607237495; -44.40158998151771; -72.27646696806005; -9.540968480970562; 14.667925876724269; 78.84487298591648; 68.44534531815398; -50.289135811328414; 75.63310705608541; 57.64733452620402; -83.17508022490273; 48.86942584999744; -27.01921513750709; -12.120377076865708; 57.97137181622159; 16.888884067566806; 95.781102895967],553392.5640085083
F12014,one_point,tournament,0.3,1996597044,[-2.121220504847045; 80.49597874129816; -54.89079960518601; 71.06626991721473; 41.2791673535061; -89.2902485200385; -27.93604589748726; 14.121287045422278; 73.3598936122296; 85.51048876799939; -54.97919872701822; 78.23913431581863; 15.844559076165226; 11.01974156511396; 47.556934565767335; 75.6660691418; -12.72810820321925; 64.37637295173789; -89.37426473468493; 78.97447968374541],1757764.137823075
F12014,one_point,tournament,0.3,2714324692,[57.244091526463166; 59.354047803834845; -89.25525615958092; 35.991810544117925; 20.79951428594387; -61.87628672259524; 3.7175946738016847; 10.374364811065533; 77.59309379163969; 82.57553314478548; -55.49612368671293; 75.80128487414618; 73.4482425544077; -51.40698703161224; 48.69326743237454; -53.68762504414533; -12.197747588294988; 78.85667131645025; 42.55411995214649; 39.93311362231239],339729.60126498446
F12014,one_point,tournament,0.3,3341703522,[-17.312925461359256; 90.86775552212879; -36.785363080309864; 90.10084776422471; 17.25392448676149; -67.77723040848744; -28.854232785169614; 16.621572975286128; 76.60551413902238; 74.70574876260414; -53.504013538802184; 74.89461317882825; 62.61964608610188; 23.48280379592535; 48.00678606292058; -32.34716132039128; -12.031846349078151; 56.80921438763133; 21.28012473686114; 99.71625007436705],246137.80254247462
F12014,one_point,tournament,0.3,4116553747,[9.674401260326505; 76.99260234447291; -38.7222994519191; 58.198528498090525; -52.02015041440986; -81.95155876164296; -57.145654475732414; 11.3532524091343; 78.99967069364703; 75.71607689065553; -49.49366041031047; 76.57709095705835; 33.459439900685624; 35.84774806795809; 47.92121459442362; 33.41109454771993; -12.948035357173396; 57.548641780061416; -46.23475678287878; 96.71240344440164],988642.95283445
F12014,one_point,tournament,0.3,1758543566,[25.57071769057717; 51.81312006613601; -49.45145040301937; 70.70824728789805; 19.241076556144662; -77.6671142440531; -38.001424907632966; 20.704869485434003; 76.00218343112596; 81.42391232670033; -54.23919346044266; 75.619105384139; 41.25873032966143; -16.25408857036024; 47.62967869394342; 15.932616001574473; -12.114984800758052; 62.3235350881078; -27.996775276863815; 85.27640623481798],625559.1592231767
F12014,one_point,tournament,0.3,1773036172,[98.77833134775648; 86.41609346842458; -83.45944706430133; 56.63183128098311; 62.324230910303015; -75.41238376255446; -29.854756704770253; 8.695587082640529; 80.37717961254543; 70.85005693790123; -58.391197314513434; 70.44560729700459; 47.00833024328398; 19.663889722044885; 48.33162866753213; 2.1936253026565; -12.922713584865036; 76.51731764848242; -14.00222889153082; 46.46501450131791],564280.9251786766
F12014,one_point,tournament,0.3,1650088445,[-79.31583200901113; 45.87406743218344; -99.72664973503956; 65.43994521903954; 27.806897373786185; -87.70815395190756; -49.022674120097996; -7.882594847967766; 60.67432286389189; 67.28828119304845; -53.656917529066426; 76.52607049633454; 23.119218173074117; -12.576487616708505; 48.08891787650796; 57.132843789183624; -12.619836518004107; 83.24797166196907; -70.0550340821566; 28.199798264759266],1424634.807602699
F12014,one_point,tournament,0.3,4123709261,[71.97300936681381; 40.90148674717918; -36.71085153704525; 67.5265608154408; 4.275545806344553; -70.07713182105071; -21.776526252102073; 7.692902028992222; 70.53855803176259; 76.49587152484838; -58.34861169126415; 74.1054744178031; 63.31233262563612; -48.38944549152606; 47.95408221251853; -35.03106829822005; -12.731899141498332; 57.01171748419631; 23.97511328379352; 99.13978413917079],216342.1528391477
F12014,one_point,tournament,0.4,671411741,[-67.3977205348267; 49.677389245818745; -38.22527872829329; 58.44946751620128; 42.35857115395248; -75.48232266607909; -15.388324979433122; 6.816641228052589; 67.03464989657581; 80.05155925866296; -54.62018935557478; 77.01665174636193; 45.76563603567266; -43.449445124651696; 47.85013786073878; 6.301825910931754; -12.936113158599213; 57.46080094257945; -18.080713398482757; 97.92679734638753],500167.88977561507
F12014,one_point,tournament,0.4,4192360547,[32.23379319650408; 74.46507170314126; -56.878352416019865; 25.77013047219971; 34.898709649546475; -87.80730562322177; -43.541079015387595; -0.5246126797026278; 80.1647626574804; 75.64297076890264; -54.94996470105305; 75.14410971842648; 22.66969992793932; 17.969735775154945; 47.258591356342464; 57.52203527586474; -12.286004763590626; 65.32744605972289; -71.00080714892776; 76.99127072385451],1242781.814848336
F12014,one_point,tournament,0.4,225896210,[32.519173375829496; 94.44384238266022; -61.467956057766806; 68.42090613814352; 46.89168033124872; -71.17364699263582; -72.4868079343563; 14.197505419096373; 73.5447683597707; 72.55590765598623; -54.674173472354816; 75.55423671044386; 62.819236781026575; 73.32509182552738; 47.544403351949654; -36.43897379727359; -12.117578820520293; 67.24221300120357; 25.051399412828786; 71.30145037733408],213078.25287683512
F12014,one_point,tournament,0.4,2105244331,[-81.64493330047426; 47.504023501879885; -57.4225676734212; 68.76604494077628; 37.25196662324569; -84.94260531527604; -40.01618272018861; 9.179561877587702; 73.07297703591118; 70.7841364091694; -54.87425251834095; 73.86837633211684; 28.97640313791527; -19.491983023374516; 48.63776206469575; 42.31316183998203; -12.24822280041613; 65.66622898635165; -55.39834728028774; 76.00850647627729],987038.63647152
F12014,one_point,tournament,0.4,2843401038,[63.52645913387053; 69.42742440468197; -89.6519880071491; 40.71510377002937; 30.23696020713956; -80.13230318197046; -54.29994706320515; 8.126178485887351; 70.84136456243863; 68.27731972541994; -56.698200881702235; 74.87826209928045; 41.818044072780395; 22.245229122693686; 47.19121763977006; 10.63269848149801; -12.491216256699914; 79.11486270886115; -22.521263223799366; 39.62142061473119],540698.3349151254
F12014,one_point,tournament,0.4,3114306649,[60.68847071053625; 64.64466371899402; -36.54173346919005; 54.39119153254043; 30.78231678316797; -84.38173696315627; -47.09892506437481; 15.961157292876067; 70.45259453692464; 81.35952430674882; -56.315383483114175; 73.86351574664732; 32.353540334847594; 9.55254365318197; 48.04783762625735; 32.64369384985196; -12.596804626330751; 56.84803298988376; -45.10475375536429; 99.96808271283967],832053.2320211497
F12014,one_point,tournament,0.4,1923134126,[10.746140863345715; 18.371428602603572; -67.94595065124875; 81.51454608454489; 6.020867353433573; -79.91086233360997; -12.507885060511924; 4.580221106216769; 70.08555440787802; 76.87697763108122; -52.35549372709465; 76.7960660773918; 40.54135774451609; -85.40594135453468; 48.67674533420342; 14.314059088920487; -12.305446079107; 69.9805710368465; -26.48435499702535; 64.21637972801037],602813.6763184619
F12014,one_point,tournament,0.4,198993346,[70.96503330578432; 18.43264008798522; -38.41961431391845; 84.07020649775814; 30.756449230364694; -70.50664450432794; -3.8170979362444086; 16.488336485691676; 81.22640342698026; 74.31302982155933; -52.09989161843944; 71.672375453956; 59.12855874265338; -94.87650114997841; 48.708500511972744; -23.76037776408404; -11.925194162421576; 57.49099745948598; 11.920293698904459; 97.94682091833658],329022.7264171704
F12014,one_point,tournament,0.4,2491256098,[71.08271269902119; 38.48327676961617; -38.633957953296495; 59.676890273534354; 24.308879772737143; -84.03229167926625; -21.53876026371728; 0.10200298628734572; 77.86110570762534; 74.40511871837089; -56.5273793610648; 72.32386281936118; 31.815809648526113; -51.35576279263847; 48.38948260294893; 35.045846387806534; -12.355284109775738; 57.722762329551216; -47.32024451598098; 97.40177524325023],834572.3317575661
F12014,one_point,tournament,0.4,1781787028,[-24.38270226059433; 95.9747154011786; -40.54094472855554; 33.29080405150725; 31.72726636352695; -83.16693659087167; -63.79418754334281; 4.591255531473365; 73.13350831011999; 76.86988957357983; -51.182052066422436; 77.71602751713203; 31.782328948681993; 68.05854244428585; 47.19347458855026; 36.29154296773066; -12.776986839315825; 58.41289389030649; -48.52783784488799; 95.52070253820685],913716.9928159402
F12014,one_point,tournament,0.5,2223431557,[80.36989093197948; 82.76634160511932; -99.68897990790848; 99.76081297651939; 32.82738567419551; -57.365245882701466; -63.651979338094456; 3.7349341008861643; 74.25046487162362; 74.247230799987; -56.4348742129865; 75.53970180848327; 83.08575812543756; 50.868018059840836; 48.11825589344184; -74.31739162825849; -12.095440926954609; 83.49359517690121; 63.52113033069375; 28.306549380920103],257286.40610802796
F12014,one_point,tournament,0.5,818240177,[-10.308709658208912; 95.1147080211158; -42.480439725159734; 62.82865394634376; -8.40777102849566; -82.32922923165447; -55.294259746791006; 4.465517569201921; 74.06504134187094; 72.68597845901044; -55.9720699262557; 74.3011137730642; 32.0194004594201; 56.635571011368626; 47.78012189523088; 38.39600476153984; -12.149549972630894; 59.29084087371328; -51.30108843829644; 93.06636987347551],878680.5003949371
F12014,one_point,tournament,0.5,102387241,[59.01467354506414; 30.11843012668288; -68.8798086371547; 66.23580262275897; 29.956181116471697; -75.06492174423764; -17.933046354599668; 10.290141379212841; 75.93899340393128; 76.15137235226297; -53.05481616328085; 73.94036375458276; 50.839916377722005; -65.03380813341894; 48.95899656586175; -7.211199896543434; -12.929826596243558; 70.39086895329032; -4.375474994792896; 63.08836118449409],308392.0820274969
F12014,one_point,tournament,0.5,2072422192,[18.08565449015829; 71.87574774431698; -36.41482994497889; 61.9523777706699; 10.565618037830362; -86.58714450899605; -60.540663186212605; -1.4978284776002937; 79.8746567028114; 74.89890865578036; -51.01490261901627; 77.0284075462126; 27.15467925045232; 33.02321162422123; 48.29056538807396; 45.67202027791319; -12.214368154590076; 56.676060185912235; -56.93468507937038; 99.87032640156684],1344953.845502726
F12014,one_point,tournament,0.5,4219928291,[95.42627776047578; 45.61087124321301; -65.0467745296749; 72.61523306198166; 12.806553584558472; -90.20717867135441; -19.247468902279792; 9.649470804157232; 74.28607345057193; 75.62421418918169; -55.373943027647734; 75.02574112457805; 16.066742042942067; -44.381974351818876; 47.21009850011046; 72.15679082802126; -12.458514623550926; 68.72575198999255; -85.45483410892311; 67.59360950601422],1496304.6414602667
F12014,one_point,tournament,0.5,3428382886,[-2.680874933810756; 25.894888048162827; -65.34895452702273; 52.49451191932596; -2.5623952659270373; -58.9194388950566; -20.888480412114973; 8.368236767712986; 74.43999916080773; 79.05967462625992; -54.03372618633555; 74.239971884666; 87.90618287181837; -67.47209256142469; 47.39566806871062; -91.45591115038287; -12.81153565878175; 68.85420192568304; 80.9147227020942; 66.96922806686311],263217.9549671332
F12014,one_point,tournament,0.5,22614515,[73.25338761803681; 75.06598594856933; -51.822051035997575; 74.76621403202907; 12.79792107284959; -87.15313228560773; -37.51822144289558; 10.993373433601633; 74.2855367249596; 72.2605732892008; -55.02733537115374; 76.21301551036171; 25.56801017024661; 12.848104225191406; 49.69757274162703; 47.56245168946259; -12.630284799872584; 63.32471618777055; -59.6498021538707; 81.99718688921755],1107538.833998053
F12014,one_point,tournament,0.5,3985129497,[12.719721448918392; 39.45796798451789; -93.17992451248838; 72.10467952310125; 32.059346129170706; -81.0443487365889; -31.113100092500588; 6.372879172962541; 68.22533584406554; 72.40898460283694; -56.787775944252374; 73.81792363789214; 35.47138720490014; -39.18669276718396; 48.03492150566322; 30.252697207649874; -12.192610126804908; 80.50646551977536; -42.86375371125437; 36.00017935215206],783087.9478134004
F12014,one_point,tournament,0.5,3247723369,[-20.124502872000406; 44.50233062495906; -57.98781102760338; 49.75949035338763; 10.621576464999976; -88.42287126247497; -29.997215919041608; 9.05674467481974; 76.4015023434088; 72.58215575452564; -52.3563222871126; 74.56720744059083; 21.989808650051984; -33.61632774391671; 47.52241366525243; 59.15945133260078; -12.711921811077517; 65.99410631840792; -72.22803606042885; 75.74605743861312],1296544.9502207679
F12014,one_point,tournament,0.5,780867969,[72.43946681206438; 38.387436000260124; -45.70109295226328; 47.97156113697389; 15.326032094649221; -82.27315725191815; -28.6625209605607; -5.659494740667782; 71.95182097161864; 74.20441776142036; -57.832779714377146; 73.62635468453345; 34.81229637480655; -43.12820983020418; 48.23498808218105; 30.64661533144786; -12.524148491882684; 60.649094458712625; -43.481267865520024; 89.28275781618817],770884.8051524927
F12014,arithmetic,roulette,None,3752940318,[-7.510741649173088; 41.285597457912644; -38.98363387297225; 16.417298801977406; 19.285424748992696; -67.95846115725418; 9.50084651245519; -40.50174686977694; 12.300744777259462; -0.5183956234319371; -2.3219865478975104; 17.396877914861044; 28.79698941815241; -2.728131472225016; 12.560037308585688; 11.865508677313592; 0.5770074973669698; 51.69324274829256; 2.705226177945274; 98.80839011526169],225263769.97229996
F12014,arithmetic,roulette,None,3101802548,[12.76079167132894; 19.700805370254358; -28.521549393481372; 9.12406427288159; -50.22676726463072; -57.192676513198734; 2.8592469265994143; -16.509027648429523; -4.9890428922488494; 23.291355810746865; -15.600617708727995; 21.58198913471699; 37.400647779466205; -24.676558882180544; 20.790328356691294; -0.150413916068441; -16.665914059275; 49.3441855309613; -12.925182684153674; 95.14005743836898],213906546.38824436
F12014,arithmetic,roulette,None,4205157779,[-5.0909595085898856; 47.949976458707106; -43.741828834687695; -6.825002402132784; -0.9093580625900902; -86.65682818964446; -19.153512582615406; -30.85814489124776; 0.35336914094727867; -1.2459575188046506; -3.4881278039855816; 14.82804614806516; 26.892094941533863; -2.1347399030501832; 14.49750644964721; 1.063030398694749; -11.176887455710382; 52.26685525898187; 10.96139746557516; 90.74879054644299],149508377.6464064
F12014,arithmetic,roulette,None,2039323283,[3.8780163187425383; 4.95713374129166; -30.12549844755709; 18.58818186463604; -2.495098021678001; -25.981157489287952; -59.712113352475235; -12.602119312712306; 60.692636996499225; 3.52924438397209; 87.87866721399351; 10.805694729511906; 55.22587242428302; -22.27035725298009; 12.501291083295909; 11.341764292915611; 2.0495426936396934; 51.24268265990389; -13.620199753747958; 83.83710246685658],231289716.59081414
F12014,arithmetic,roulette,None,2358786465,[-7.806875702995454; 27.504824805938707; -51.86420225856999; 1.1764983799080664; 5.075008643478637; -28.298902681291676; -0.318411625073721; -2.0659302136345667; -16.671570163511365; -48.7284370194282; 13.812497377092921; -6.340571221673354; 73.47011269583118; -32.14107927003131; 10.553192846297806; -9.49653625580119; -15.466431284260878; 56.928321350082825; 5.886037374083848; 79.56979959172571],178174570.44720715
F12014,arithmetic,roulette,None,226224279,[19.660387095382465; -9.924590577156586; -29.93022273797286; -8.37756460827244; -15.218829425892213; -70.25008467284928; -19.684250126483583; -29.219511268537925; 4.905936556628762; 4.399927924190095; 14.147323240891051; 36.53368016140885; 51.36472030066261; -76.59338498390294; -4.629191370465122; 14.490922703733895; -8.491474096731785; 52.19546064377588; -10.69873517609388; 90.0789463191991],203005361.11600092
