Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F12014,one_point,roulette,0.4,1368223485,[41.602614421990125; 46.61254084577172; -30.494308906607486; 55.01159444250578; -12.41770055495914; -92.48106251968267; -57.54280861660337; 40.968503093562845; 92.96900550038555; 44.153910952883024],405795.3314057095
F12014,one_point,roulette,0.4,3286938279,[34.13972293737595; 65.95383411337869; -36.451029554375424; 49.141552868333605; 4.013584117022333; -84.32835417924929; -63.467863322290505; 33.658648641003026; 88.73000929220458; 39.227221552691105],733805.7564875104
F12014,one_point,roulette,0.4,2457375445,[56.56379193971091; 68.5725426438224; -28.269405422324382; 89.5686412028534; 44.80736227634742; -93.64663716930697; -6.257022421643626; 41.42699779441767; 94.51955515622961; 64.7719023384571],1209355.8469626247
F12014,one_point,roulette,0.4,1053137062,[34.37272675227322; 67.22835691513276; -89.40840611615452; 96.42009995788868; 55.961292358792576; -99.77083444123231; 6.239753764763819; -27.83261933087762; 53.56590428470537; 29.205958784805887],543022.782528598
F12014,one_point,roulette,0.4,547935812,[43.26652021261202; 47.45600166670306; -49.06968010127548; 61.072407034295; 6.505300106847429; -88.79783613430945; -36.969023208759985; 21.150812771937638; 80.4270325186144; 50.28942159690175],1321524.5378420372
F12014,one_point,roulette,0.4,311435551,[47.95790901973399; 75.034548403048; -73.46596304628478; 64.68802501454883; 39.47747154046496; -88.0697362772631; -25.29792472956231; -7.63258183671492; 63.778524189766216; 55.49350554547425],136152.1509095217
F12014,one_point,roulette,0.5,2296938861,[45.08037249257825; 68.00315185359952; -91.78693793753227; 74.5195101638636; 41.122917157363815; -90.96634353847723; -13.926165327563538; -29.655870817066315; 51.78887651669007; 50.128767594052476],226509.58737465378
F12014,one_point,roulette,0.5,3151886306,[37.01550551689553; 73.85100808522401; -78.49166976293202; 64.37416113294; 28.970656699423017; -90.90768802865139; -41.94200588985761; -13.365249780486721; 60.140658439682966; 38.037950422364105],535330.0696715149
F12014,one_point,roulette,0.5,400139888,[44.76099478550054; 57.63621760982548; -78.30562349855995; 53.04954800597724; -8.52496652008115; -98.48058054960775; -66.32955871032425; -14.778582180349801; 60.76055887551718; 44.49178812699762],125213.29833822211
F12014,one_point,roulette,0.5,2667066007,[35.74576505450716; 65.06152983570229; -41.93459596131923; 52.8543006371018; -11.492975051349276; -98.06581854115454; -76.07379352673264; 28.433967904984257; 85.53636925710225; 32.50124422715916],447987.0183296085
F12014,one_point,roulette,0.5,2460440347,[55.94102166377647; 68.69918204662412; -88.19584614575156; 70.04382675410957; 26.999689181428124; -50.761065659436966; -37.78126355098011; -25.11442268674; 53.798064192945475; 90.66712180358797],251493.95510231558
F12014,one_point,roulette,0.5,1012863414,[51.748105086349; 61.23804723628038; -42.26820531133859; 29.077695031279035; -32.06003166408537; -49.030055471953716; -99.2625551924672; 26.563595468618104; 84.51367128953811; 86.2119372679768],196868.1863165646
F12014,one_point,roulette,0.5,467563480,[37.50916858793718; 63.61364586436335; -58.266582470362316; 89.41781128463629; 67.33629672328132; -97.41003576139575; 32.4459182366607; 8.1205290502417; 74.18362075490629; 34.97705539997531],271103.66498057946
F12014,one_point,roulette,0.5,3661796053,[47.22691133463027; 71.17141552744224; -25.924267967597174; 83.04590446201686; 62.25113206063952; -87.132181181664; 10.649773341216957; 46.38068297375372; 96.09578737616059; 54.87004286235501],216778.31826929835
F12014,one_point,roulette,0.5,195511159,[55.087947977489875; 59.30413154361773; -93.18561721554595; 45.56071200343354; -23.541897281529558; -54.696589977479924; -86.27752512951186; -32.18751318723703; 50.90148058599701; 87.27828500407892],266716.0300236182
F12014,one_point,roulette,0.5,4212241071,[47.41379263649051; 51.859915183401824; -81.30153656401225; 76.34863653355066; 48.410957255968384; -59.85353430023794; 25.106862452479973; -18.187667013856284; 58.710539811232906; 73.07296592344298],468363.89414810506
F12014,one_point,tournament,0.1,2267857456,[22.26915077096865; 99.16313959144577; -51.117836354145616; 50.265837355469415; 52.14478595057247; -19.063725759692744; -42.08085051082886; 19.368534088181576; 78.26982258544203; 67.7637407219967],8157306.047659254
F12014,one_point,tournament,0.1,4291728126,[47.219965625716725; 49.35732215980863; -43.65571229223999; -15.116231519521634; -6.718859161868764; -45.50182571136332; -77.43362673171679; 26.807020540385437; 85.6200480983876; 82.47287843240011],4630231.414942131
F12014,one_point,tournament,0.1,3606932482,[48.40823425038704; 74.35074190923322; -40.86404943928215; -0.24535539519602878; -15.878105433434513; -82.1883164192893; -80.16185982357874; 27.03202110273682; 85.11765325902186; 62.17385098482822],2310808.7184370146
F12014,one_point,tournament,0.1,1294796496,[38.1778588877641; 56.54051570578184; -85.93246893910353; 2.365698858821517; 1.3119573804548423; -60.97812189995659; -44.8607583209393; -33.8125357807953; 56.90032010025962; 59.785626726280384],5307575.800612213
F12014,one_point,tournament,0.1,2005611649,[35.07890851241024; 48.00719663816696; -64.6314923963312; 3.4020986664000645; 5.2821919070584755; -55.46615771973835; -4.477870073808816; 5.021270078949371; 69.93031954740471; 60.71366484288504],3475042.152428873
F12014,one_point,tournament,0.1,1217997678,[26.096747382618958; 97.20020066229665; -35.826219989966575; -2.4632186622335297; 80.61314382118186; -88.80045016314837; 34.09783330690914; 29.742431398612865; 91.01193230293799; 26.889500267389295],6237986.213877863
F12014,one_point,tournament,0.1,252202898,[30.17501820286907; 59.749247980682014; -61.90372427538715; -50.22946442261822; -12.744966828720166; -62.36097246725958; -65.28539812434033; 10.751058434170432; 71.8349478349831; 48.35502760803715],3947165.299970229
F12014,one_point,tournament,0.1,2757494314,[40.040553851928934; 7.207984676475704; -79.28700583745629; 74.79647609136595; -55.317392298417985; -83.60992991152558; -74.1405387243634; -9.933711976668008; 58.55951094885717; 45.914295552526795],4772589.548985931
F12014,one_point,tournament,0.1,812099035,[45.791815755433504; 48.79454470807906; -81.89927712731253; -20.44132575568686; -4.608974134040849; -82.90189916056661; -29.381292924260038; -17.12881364412533; 57.02887657128065; 54.799061761584056],1984810.7065096246
F12014,one_point,tournament,0.1,2483019733,[27.685285774477947; 37.40271085380783; -53.04912271805655; 28.379238681094563; 44.67008630134691; -80.58977479533502; -6.079869667701061; 17.868545596918636; 75.20922470025135; 32.70984927575384],9573327.721439924
F12014,one_point,tournament,0.2,1141402501,[42.60149889903076; 72.89594843925528; -87.48513178941721; 97.03875336344626; 79.57403324420048; -64.56007467397453; 30.771864151493787; -27.172792516891263; 54.77831634898607; 63.638341442390356],626253.4296859743
F12014,one_point,tournament,0.2,2407004704,[30.13153903277211; 65.60244031681603; -87.56765740953567; 98.45159261456249; 29.32228951405753; -55.45109356918585; -27.05545585930132; -21.17867144311927; 54.798623032999956; 52.61922828069919],2372650.0443624686
F12014,one_point,tournament,0.2,2235295671,[48.116174781155536; 67.23899036027112; -98.23712121701634; -39.04367560354933; 63.42984429166435; -81.96931002616083; 15.332262566411984; -31.53388434576729; 47.1262761242441; 59.103752280321885],3803943.591476511
F12014,one_point,tournament,0.2,3132381243,[39.546832549631006; 62.611777164167336; -32.36129923022111; 65.45782268388047; 10.970203096291641; -15.84391898242012; -37.23738764974147; 38.367139909892444; 92.05497170755552; 90.8498918912685],2031117.0660065706
F12014,one_point,tournament,0.2,299169174,[38.53720923755273; 65.29592803072362; -24.922470569629354; -21.011064893252012; 3.963678266923125; -72.54397056210686; -36.15717294673863; 54.98712565510209; 97.54126540171052; 51.86777003167984],3412208.3514123587
F12014,one_point,tournament,0.2,3599793153,[38.56716757903442; 45.73309842410757; -81.93872989305426; 98.44137867078553; 34.04450684466454; -99.07967789065685; -22.040764652862848; -11.606190367064428; 59.54720371385599; 32.688109892976314],5442973.0417621955
F12014,one_point,tournament,0.2,2490565809,[39.548517839069774; 46.80236067245619; -91.24431770970025; 55.340011926502825; 6.011090355780851; -33.16891378849385; 8.031923136718632; -32.87618444356957; 52.81063605438692; 79.27099003376819],4925003.99691972
F12014,one_point,tournament,0.2,792544877,[33.85401192139898; 69.17660478043192; -68.14898764477334; 97.34319714964383; 95.66918388976353; -99.83399536091306; 48.26709289427302; -6.494995263632703; 68.14193092815364; 29.650546616762995],1880955.392762874
F12014,one_point,tournament,0.2,3583417467,[43.6597931542895; 39.292383064207485; -30.926577258323192; 70.40910765729015; -38.92530849569451; -88.61822319622361; -73.89180249008578; 33.94029598106755; 91.63738757951859; 49.8386191452764],2158716.4106996106
F12014,one_point,tournament,0.2,1087073223,[25.706221053619743; 66.49934635782424; -27.00683825507288; 19.976037635095395; 27.338497416630233; -89.44923924657935; -43.17006673180999; 42.51518824287149; 94.9603387391034; 22.97290595963632],3125403.328603649
F12014,one_point,tournament,0.3,1752663285,[37.2293388176746; 76.59641184828851; -68.63047919301597; -52.15028443635734; -0.34973386788996663; -86.24297719233498; -49.52303922636394; 2.639340796041296; 68.43768273982104; 41.047718701776375],3235163.913822737
F12014,one_point,tournament,0.3,85180663,[56.24228257153604; 60.555107847465365; -31.679815663611265; 59.43560420948563; 28.200590469231656; -42.841111051745465; -15.845009839527819; 40.69960002053722; 91.8367436162512; 97.0645541998831],251279.86413248154
F12014,one_point,tournament,0.3,2415741547,[30.110949739978764; 70.29062802907725; -60.76956092109511; -36.949938588508346; 32.090626825989034; -97.36251299633211; -18.886347271835675; 5.902153676397077; 73.5979044697591; 25.836097858626374],2759474.1555192503
F12014,one_point,tournament,0.3,4019668902,[36.74392758755235; 38.908016099218; -72.92539918640774; 24.38235773347823; -23.957117867773974; -93.01152901862282; -57.58032261804207; -9.972890156671; 63.84805899314932; 37.47016826791386],1216223.7027474411
F12014,one_point,tournament,0.3,4164567945,[17.136324175102118; 52.917355051448226; -31.56404733217674; 47.22647867010471; -33.954237676801895; -99.42204793134184; -84.77937272851935; 41.66068827767694; 92.90230406578982; 4.8001171828947236],3299776.2501210617
F12014,one_point,tournament,0.3,2526734085,[39.410996770303086; 50.33875607589465; -98.01757673945606; 83.1637398790038; -12.842614317697638; -98.76027718141451; -83.46092267417518; -40.61402536461394; 47.78434543096637; 36.27167933162261],1509734.5081747083
F12014,one_point,tournament,0.3,2188465709,[39.189920932136715; 89.54260948912074; -61.44348751085413; -41.69072148494188; 59.61843525352762; -97.26542411114782; 6.643775835294008; 1.0840920685510298; 72.12010931333234; 37.876244626716044],2246528.651840757
F12014,one_point,tournament,0.3,1650761128,[39.77105047722307; 56.14984367409639; -76.16760013634247; 97.21775692398921; 49.939520245162555; -92.58073046510214; 37.05971956444466; -11.154263372715207; 61.88156017201595; 41.29527075999465],1371157.8725187217
F12014,one_point,tournament,0.3,2938506154,[25.77647913380467; 63.75864967567421; -42.8241534202195; 70.67282156383976; 42.07091428760069; -98.54932220240202; 14.157802096062724; 24.124053923196072; 84.8093105671716; 18.88683009302467],2347743.2501286315
F12014,one_point,tournament,0.3,3559865890,[43.05444652592175; 63.80799144383266; -59.26567920503645; 53.66360488988596; 53.23629813074814; -92.51010606016494; 30.612981019896438; 5.3787892095302965; 72.19856178975601; 46.612585114799344],1437366.25226301
F12014,one_point,tournament,0.4,433197194,[40.98913985145958; 63.73736713059739; -25.195524446892037; 79.4460082776144; 33.82457536995054; -95.97056249928258; -18.677810393917028; 45.93182198072557; 96.10995024080046; 40.82759547250464],253057.34708955968
F12014,one_point,tournament,0.4,605958425,[44.52815495894208; 80.14403959814385; -30.570549308826727; 58.293703270983144; 84.03987627199004; -73.01101840806108; 40.19230441186343; 40.8955546700858; 91.573978781655; 59.812161505218654],1007584.261382205
F12014,one_point,tournament,0.4,169814209,[36.76151301393699; 31.697603814622823; -41.81126907066795; 94.90258485811677; -25.24030922476517; -97.66984213485293; -48.80586757824379; 27.251474333761408; 84.1799731033405; 33.394143162450405],1544581.7399784364
F12014,one_point,tournament,0.4,861729199,[32.709824055770326; 66.48279133313895; -66.78884517085402; 73.16278621759196; 22.895523904076498; -98.38928855477404; -32.08086027666282; 0.802784491928989; 68.61037106363267; 28.188930618850804],631267.5559518165
F12014,one_point,tournament,0.4,1368223485,[41.602614421990125; 46.61254084577172; -30.494308906607486; 55.01159444250578; -12.41770055495914; -92.48106251968267; -57.54280861660337; 40.968503093562845; 92.96900550038555; 44.153910952883024],405795.3314057095
F12014,one_point,tournament,0.4,3286938279,[34.13972293737595; 65.95383411337869; -36.451029554375424; 49.141552868333605; 4.013584117022333; -84.32835417924929; -63.467863322290505; 33.658648641003026; 88.73000929220458; 39.227221552691105],733805.7564875104
F12014,one_point,tournament,0.4,2457375445,[56.56379193971091; 68.5725426438224; -28.269405422324382; 89.5686412028534; 44.80736227634742; -93.64663716930697; -6.257022421643626; 41.42699779441767; 94.51955515622961; 64.7719023384571],1209355.8469626247
F12014,one_point,tournament,0.4,1053137062,[34.37272675227322; 67.22835691513276; -89.40840611615452; 96.42009995788868; 55.961292358792576; -99.77083444123231; 6.239753764763819; -27.83261933087762; 53.56590428470537; 29.205958784805887],543022.782528598
F12014,one_point,tournament,0.4,547935812,[43.26652021261202; 47.45600166670306; -49.06968010127548; 61.072407034295; 6.505300106847429; -88.79783613430945; -36.969023208759985; 21.150812771937638; 80.4270325186144; 50.28942159690175],1321524.5378420372
F12014,one_point,tournament,0.4,311435551,[47.95790901973399; 75.034548403048; -73.46596304628478; 64.68802501454883; 39.47747154046496; -88.0697362772631; -25.29792472956231; -7.63258183671492; 63.778524189766216; 55.49350554547425],136152.1509095217
F12014,one_point,tournament,0.5,2296938861,[45.08037249257825; 68.00315185359952; -91.78693793753227; 74.5195101638636; 41.122917157363815; -90.96634353847723; -13.926165327563538; -29.655870817066315; 51.78887651669007; 50.128767594052476],226509.58737465378
F12014,one_point,tournament,0.5,3151886306,[37.01550551689553; 73.85100808522401; -78.49166976293202; 64.37416113294; 28.970656699423017; -90.90768802865139; -41.94200588985761; -13.365249780486721; 60.140658439682966; 38.037950422364105],535330.0696715149
F12014,one_point,tournament,0.5,400139888,[44.76099478550054; 57.63621760982548; -78.30562349855995; 53.04954800597724; -8.52496652008115; -98.48058054960775; -66.32955871032425; -14.778582180349801; 60.76055887551718; 44.49178812699762],125213.29833822211
F12014,one_point,tournament,0.5,2667066007,[35.74576505450716; 65.06152983570229; -41.93459596131923; 52.8543006371018; -11.492975051349276; -98.06581854115454; -76.07379352673264; 28.433967904984257; 85.53636925710225; 32.50124422715916],447987.0183296085
F12014,one_point,tournament,0.5,2460440347,[55.94102166377647; 68.69918204662412; -88.19584614575156; 70.04382675410957; 26.999689181428124; -50.761065659436966; -37.78126355098011; -25.11442268674; 53.798064192945475; 90.66712180358797],251493.95510231558
F12014,one_point,tournament,0.5,1012863414,[51.748105086349; 61.23804723628038; -42.26820531133859; 29.077695031279035; -32.06003166408537; -49.030055471953716; -99.2625551924672; 26.563595468618104; 84.51367128953811; 86.2119372679768],196868.1863165646
F12014,one_point,tournament,0.5,467563480,[37.50916858793718; 63.61364586436335; -58.266582470362316; 89.41781128463629; 67.33629672328132; -97.41003576139575; 32.4459182366607; 8.1205290502417; 74.18362075490629; 34.97705539997531],271103.66498057946
F12014,one_point,tournament,0.5,3661796053,[47.22691133463027; 71.17141552744224; -25.924267967597174; 83.04590446201686; 62.25113206063952; -87.132181181664; 10.649773341216957; 46.38068297375372; 96.09578737616059; 54.87004286235501],216778.31826929835
F12014,one_point,tournament,0.5,195511159,[55.087947977489875; 59.30413154361773; -93.18561721554595; 45.56071200343354; -23.541897281529558; -54.696589977479924; -86.27752512951186; -32.18751318723703; 50.90148058599701; 87.27828500407892],266716.0300236182
F12014,one_point,tournament,0.5,4212241071,[47.41379263649051; 51.859915183401824; -81.30153656401225; 76.34863653355066; 48.410957255968384; -59.85353430023794; 25.106862452479973; -18.187667013856284; 58.710539811232906; 73.07296592344298],468363.89414810506
F12014,arithmetic,roulette,None,383498197,[-5.968796820967077; 55.40998791127859; -53.69207283847125; 94.8027008942087; 29.834078356662065; -31.24210157585571; -4.987836062566725; 15.351544169450499; 75.48417959040724; 17.03919422086254],16665685.8879497
F12014,arithmetic,roulette,None,2091476522,[10.788339487563716; 9.313927638398443; -50.799087359851995; -15.124784103237982; -33.11259024408744; -74.35801786247511; 0.8605553114192483; 29.905133017143545; 82.7964236030247; 12.479410671698592],17124177.000115883
F12014,arithmetic,roulette,None,1831584302,[14.083433067167052; 26.239533596267094; -90.28979577785627; 42.485628619844036; 1.9092210193490369; -86.32440445513616; 11.291387764970322; -16.30345247753491; 52.55068411504041; 4.896407305184407],16519693.65665904
F12014,arithmetic,roulette,None,337581982,[54.119423853783196; -10.794763139662477; -65.96892173085178; -2.2887380577995735; -48.36823403541712; -49.5159634218964; 2.216969917038978; -0.35207817287305465; 63.55392561085826; 89.37072244170642],14636226.982961016
F12014,arithmetic,roulette,None,1426706697,[5.0027172405020135; 18.192926621204244; -78.3526153936099; 11.362026161002987; 3.9148613377753385; -68.82013437310819; 41.233280624102335; -12.83101074526574; 59.74638348115195; 4.162106780527601],17892183.311598677
F12014,arithmetic,roulette,None,1254572081,[14.061619326542553; 3.3130843777950663; -80.71543019651952; -43.91870201344494; -27.408453256064462; -60.24472849084546; -23.317283857097507; -17.13622429018154; 62.06098896695631; 26.511059722623173],14147813.22294699
