Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
ThreeBarTruss,arithmetic,tournament,0.2,794858087,[0.7974252080578765; 0.38420238924512157],263.96614776723936
ThreeBarTruss,arithmetic,tournament,0.2,363181597,[0.7881384149639858; 0.4100603722428152],263.9252443181422
ThreeBarTruss,arithmetic,tournament,0.2,484923322,[0.7821884565965256; 0.42707544694422195],263.94384942451927
ThreeBarTruss,arithmetic,tournament,0.2,1694556336,[0.7855990815305527; 0.4170374710696704],263.904722244638
ThreeBarTruss,arithmetic,tournament,0.2,659033722,[0.7836016350951354; 0.42300193273510367],263.93620524336507
ThreeBarTruss,arithmetic,tournament,0.2,4269789651,[0.7922542624374849; 0.39852471011367124],263.93581556876404
ThreeBarTruss,arithmetic,tournament,0.2,1013931051,[0.7854831807360936; 0.41767676249747654],263.93586969233576
ThreeBarTruss,arithmetic,tournament,0.2,1212855990,[0.7906909501610897; 0.4035277521731732],263.99394829001375
ThreeBarTruss,arithmetic,tournament,0.2,875734467,[0.7954677583544438; 0.38965517918348835],263.9577763774245
ThreeBarTruss,arithmetic,tournament,0.2,497191019,[0.7847713549987205; 0.4194697263427022],263.9138313544905
