Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
ThreeBarTruss,arithmetic,tournament,0.2,3029041038,[0.7914716163199661; 0.40101802705982337],263.9637815125925
ThreeBarTruss,arithmetic,tournament,0.2,3984406590,[0.7804276490564576; 0.4326626559065334],264.00453873997185
ThreeBarTruss,arithmetic,tournament,0.2,2056976364,[0.7947635423515856; 0.3919642274067867],263.98949883533794
ThreeBarTruss,arithmetic,tournament,0.2,1850901993,[0.7938280433078182; 0.39471318117403054],263.9997951250057
ThreeBarTruss,arithmetic,tournament,0.2,1120600212,[0.7948013850646071; 0.3917685947169659],263.98063910195424
ThreeBarTruss,arithmetic,tournament,0.2,3253789429,[0.7870697988148575; 0.4132100505416342],263.9379618578104
ThreeBarTruss,arithmetic,tournament,0.2,3130267873,[0.7929998856924817; 0.39634141313772697],263.928379975097
ThreeBarTruss,arithmetic,tournament,0.2,4124501064,[0.7867959294174138; 0.41431181962310126],263.9706768027204
ThreeBarTruss,arithmetic,tournament,0.2,2858259788,[0.7866397533216756; 0.41421492154460543],263.91681372432845
ThreeBarTruss,arithmetic,tournament,0.2,776209017,[0.7925391663211233; 0.397828622975851],263.94678984222486
