Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F62005,arithmetic,tournament,0.2,739059522,[57.29029315358997; -30.97526898011777; 27.252355814923696; -11.039087027796128; 49.987370579047294; 19.747073179742113; -1.4122606370718533; -58.743264807251656; 89.39246877990675; 58.79534765539287],263813940.00741285
F62005,arithmetic,tournament,0.2,2584506184,[45.35647887075558; -36.456181561617036; 21.181067549761696; 1.2254428419106418; 44.16501960288835; 45.77562442088873; 7.769155857870061; -67.52318893774958; 35.63998838633604; -24.53456502754475],231383859.60371524
F62005,arithmetic,tournament,0.2,3875295992,[67.52535866286246; -36.6279735851094; 29.166192043171733; -12.241472114302585; 51.8267891838405; 28.341342074975856; -39.47134765481424; -64.53921153814801; 66.83043795507845; -42.004365712437064],142873706.4975716
F62005,arithmetic,tournament,0.2,1197864071,[70.56892059000025; -50.59792674234306; -1.9611603212419713; -6.270551223519923; 65.84464802180838; 24.776651742001476; -13.384892257121535; -66.96940177793759; 40.41244479085627; -2.9866718023681535],65922370.07946414
F62005,arithmetic,tournament,0.2,2285161098,[91.47255896824268; -34.93267913961711; 21.428652949115573; 26.603766191404414; 66.73604363717882; 6.402983006395807; -20.646310257376395; -70.6823036291325; 19.224502513985335; -36.3340812023727],562637069.885833
F62005,arithmetic,tournament,0.2,1067785236,[46.81762976993569; -42.13448303561108; -0.5777291747329547; 2.230672120224356; 51.262077119661285; 28.676241941194544; -16.93948423110138; -83.6599739499054; 26.1780850122519; 45.90523412993291],233607891.92350915
F62005,arithmetic,tournament,0.2,3535043647,[59.06384085498766; -24.638742767312664; 5.989896862984224; -29.978952308037663; 57.9156581766601; 3.9349085109921056; -7.630151335488421; -61.88678835192085; 18.605149080722462; 40.442012818688],679753541.648943
F62005,arithmetic,tournament,0.2,3677622038,[62.228452926422875; -33.53332630411807; 24.608088712119848; -11.70350189075264; 48.392744958542124; 37.81262741219501; 18.88149823890187; -49.23725668959937; 20.674432816892686; 45.60161595091907],475683321.0380394
F62005,arithmetic,tournament,0.2,4183536434,[77.22435413855473; -47.28300384751179; -0.4328782042237236; 1.8267544900198667; 67.39547215842188; 22.2187650904095; -19.271933058423993; -94.92138213437067; 59.46599087423226; -27.256192431649566],47808392.916651376
F62005,arithmetic,tournament,0.2,2125874637,[59.14435656411864; -35.2130804509831; 26.09202441531887; 12.327225390430765; 57.35038233408859; 40.274017347477326; 0.5509146786246228; -67.07704478599882; 42.69053279980284; 15.749382497957694],53722833.802378014
