Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F62005,arithmetic,tournament,0.2,1346393936,[60.0; -60.0; 20.0; 6.666666666666671; 46.666666666666686; 33.33333333333334; -20.0; -100.0; 60.0; 86.66666666666669],55952074.81282961
F62005,arithmetic,tournament,0.2,2114711220,[100.0; -60.0; 33.33333333333334; -20.0; 73.33333333333334; 60.0; 6.666666666666671; -100.0; 73.33333333333334; -73.33333333333333],53331738.64365868
F62005,arithmetic,tournament,0.2,724401520,[60.0; -46.666666666666664; 33.33333333333334; -6.666666666666657; 60.0; 60.0; -6.666666666666657; -73.33333333333333; 60.0; 20.0],29528968.817758344
F62005,arithmetic,tournament,0.2,2393478222,[86.66666666666669; -46.666666666666664; 6.666666666666671; 20.0; 73.33333333333334; 46.666666666666686; -6.666666666666657; -86.66666666666667; 46.666666666666686; -20.0],32920416.157337565
F62005,arithmetic,tournament,0.2,3773519211,[73.33333333333334; -46.666666666666664; 20.0; 20.0; 46.666666666666686; 46.666666666666686; -6.666666666666657; -73.33333333333333; 46.666666666666686; -46.666666666666664],66837969.84033142
F62005,arithmetic,tournament,0.2,2053576723,[60.0; -60.0; 20.0; 6.666666666666671; 86.66666666666669; 60.0; -6.666666666666657; -73.33333333333333; 60.0; 33.33333333333334],34726432.918175645
F62005,arithmetic,tournament,0.2,684817768,[60.0; -33.33333333333333; 6.666666666666671; -20.0; 86.66666666666669; 33.33333333333334; -20.0; -100.0; 60.0; 73.33333333333334],48148564.72529849
F62005,arithmetic,tournament,0.2,4263160454,[100.0; -60.0; -6.666666666666657; 6.666666666666671; 86.66666666666669; 46.666666666666686; -6.666666666666657; -86.66666666666667; 33.33333333333334; 73.33333333333334],87439004.73126331
F62005,arithmetic,tournament,0.2,1541978558,[73.33333333333334; -60.0; 33.33333333333334; -6.666666666666657; 73.33333333333334; 33.33333333333334; -6.666666666666657; -86.66666666666667; 73.33333333333334; 100.0],11939866.809411742
F62005,arithmetic,tournament,0.2,3449058292,[86.66666666666669; -33.33333333333333; 33.33333333333334; 6.666666666666671; 86.66666666666669; 46.666666666666686; -6.666666666666657; -86.66666666666667; 73.33333333333334; 46.666666666666686],24870269.667117674
